epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5974,2.66271,4.56119,1.67969,0.00084,0.15068,0.00053,0.0002,2.52498,5.36964,1.56566,8e-05,8e-05,8e-05
2,23.1172,1.59333,3.85972,1.19713,0.00433,0.80822,0.0128,0.00761,1.9982,4.53836,1.33722,0.000172872,0.000172872,0.000172872
3,32.7824,1.68631,2.73753,1.10757,0.00425,0.90411,0.03354,0.02544,1.719,4.02498,1.04682,0.000257824,0.000257824,0.000257824
4,42.5739,1.35963,1.91524,0.97605,0.00405,0.93151,0.01639,0.0079,1.55877,3.73127,0.9815,0.000334856,0.000334856,0.000334856
5,52.504,1.45593,1.59813,1.02264,0.00408,0.93151,0.0149,0.0082,1.43349,3.77959,0.94734,0.000403968,0.000403968,0.000403968
6,62.4335,1.31478,1.6125,0.95449,0.00405,0.91781,0.01374,0.00702,1.52876,3.74026,0.95992,0.00046516,0.00046516,0.00046516
7,72.4526,1.28673,1.42665,1.00305,0.00406,0.90411,0.01459,0.00915,1.46584,3.62171,0.98111,0.000518432,0.000518432,0.000518432
8,82.7874,1.26991,1.29816,1.0154,0.00407,0.86301,0.01388,0.00881,1.49234,3.75308,1.03116,0.000563784,0.000563784,0.000563784
9,93.0408,1.21665,1.28727,0.94722,0.00395,0.83562,0.01138,0.00604,1.49463,3.85661,1.03677,0.000601216,0.000601216,0.000601216
10,103.285,1.33258,1.32242,0.97973,0.00423,0.91781,0.01289,0.0066,1.35442,3.67414,1.00729,0.000630728,0.000630728,0.000630728
11,113.081,1.12969,1.17275,0.97662,0.00413,0.91781,0.02324,0.01396,1.17468,3.45428,0.96096,0.00065232,0.00065232,0.00065232
12,122.809,1.13247,1.2083,0.94376,0.00428,0.9726,0.22956,0.15016,1.16344,3.18978,0.94546,0.000665992,0.000665992,0.000665992
13,132.482,1.16077,1.30016,0.96188,0.00426,0.9863,0.1411,0.08879,1.24642,3.11598,0.96904,0.000671744,0.000671744,0.000671744
14,142.272,1.21009,1.19045,0.93446,0.00417,0.9863,0.62615,0.44425,1.25465,3.0354,0.95839,0.000669576,0.000669576,0.000669576
15,152.498,1.08385,1.05685,0.94855,1,0.28549,0.8167,0.61141,1.31515,2.72392,0.95936,0.000659488,0.000659488,0.000659488
16,162.2,0.96704,1.06624,0.97451,1,0.29121,0.86583,0.63672,1.40749,2.64489,0.97159,0.00064148,0.00064148,0.00064148
17,171.735,0.95357,1.00657,0.96424,0.9655,0.38341,0.83976,0.62374,1.4218,2.707,0.94601,0.000615552,0.000615552,0.000615552
18,181.352,1.04563,1.08273,0.96032,1,0.21427,0.83147,0.62879,1.39062,2.67573,0.93455,0.000581704,0.000581704,0.000581704
19,190.786,1.02589,1.09897,0.96384,0.71914,0.20548,0.69485,0.51755,1.29242,2.57637,0.91458,0.000539936,0.000539936,0.000539936
20,200.266,0.95839,1.04823,0.97532,0.98181,0.73943,0.93382,0.6917,1.20736,2.09798,0.90896,0.000490248,0.000490248,0.000490248
21,209.882,0.85926,0.96361,0.90856,0.941,0.78082,0.94063,0.68499,1.21449,1.93536,0.91535,0.000416,0.000416,0.000416
22,219.577,0.911,0.97077,0.92562,0.95157,0.80755,0.94759,0.69231,1.20505,1.85691,0.91935,0.0003368,0.0003368,0.0003368
23,229.289,0.91017,0.9117,0.94534,0.93781,0.82627,0.94983,0.70822,1.18807,1.78888,0.91335,0.0002576,0.0002576,0.0002576
24,238.883,0.84105,0.94448,0.92149,0.92643,0.86254,0.95828,0.71533,1.18757,1.66671,0.90127,0.0001784,0.0001784,0.0001784
25,248.331,0.79627,0.89958,0.90033,0.92875,0.89285,0.95956,0.72262,1.17593,1.59437,0.89705,9.92e-05,9.92e-05,9.92e-05
